,user,text,favorite_count,retweet_count,created_at
0,elonmusk,"To be clear, I’m not someone who thinks lots of government agencies should be abolished (maybe a few), but we should always question our institutions, as this strengthens the bedrock of democracy.",36332,3602,2023-01-18 18:34:59+00:00
1,elonmusk,Why did American media go from questioning the State and “speaking truth to power” to doing their bidding?,95798,13588,2023-01-18 18:24:13+00:00
2,elonmusk,@BillyM2k @unusual_whales 🤣,2413,96,2023-01-18 18:22:18+00:00
3,elonmusk,"@alx Will be interesting to see how the Biden administration reacts to this. 

They may try to weaponize Federal agencies against Twitter.",41095,4588,2023-01-18 18:18:56+00:00
4,elonmusk,The World Economic Forum should control the world,36740,16732,2023-01-18 16:49:31+00:00
5,elonmusk,@disclosetv WEF is increasingly becoming an unelected world government that the people never asked for and don’t want,91270,20795,2023-01-18 16:44:19+00:00
6,elonmusk,@ggreenwald @megynkelly Very true,2818,168,2023-01-18 16:34:42+00:00
7,elonmusk,"Media want to control what you know, which is why citizen journalism is essential https://t.co/cVL6C1VZXm",88590,15890,2023-01-18 16:30:55+00:00
8,elonmusk,@ElijahSchaffer An update to the For You algorithm included too many tweets from people users didn’t follow. That change has been reverted.,22658,1485,2023-01-18 11:02:06+00:00
9,elonmusk,@TaraBull808 Brief synchronization lag between our Atlanta &amp; Portland data centers,5510,359,2023-01-18 10:47:03+00:00
10,elonmusk,"@physorg_com @USC @PNASNews Maybe because it’s online &amp; social …

How is it possible that copycat propaganda is published simultaneously on so many legacy media channels? 

That is the question you should be asking.",46188,7261,2023-01-18 10:40:13+00:00
11,elonmusk,@EWoodhouse7 Interesting,2107,171,2023-01-18 08:37:38+00:00
12,elonmusk,@glennbeck @ShellenbergerMD Citizen journalism is vital to the future of civilization,91780,11601,2023-01-17 21:29:45+00:00
13,elonmusk,@mmm_machiavelli @ScottAdamsSays Wow,3752,297,2023-01-17 17:54:24+00:00
14,elonmusk,"The party is on!! 🚀 💫 ♥️
https://t.co/zoa3qmcXqC",128925,13610,2023-01-17 17:52:24+00:00
15,elonmusk,@ScottAdamsSays Would be great if someone could compile a game contest of who said the craziest stuff between 4chan and WEF! My money is on the latter.,36185,3521,2023-01-17 17:40:39+00:00
16,elonmusk,@karpathy Great thread,6637,313,2023-01-17 17:35:25+00:00
17,elonmusk,@TikTokInvestors Are these real? This video implies people physically show up to work.,93316,3363,2023-01-17 17:25:23+00:00
18,elonmusk,"Companies in general are missing the incredible opportunity that Twitter provides to reach customers. 

Just Tweet interesting things! That’s all it takes. https://t.co/XTzhNNwgt6",48789,5245,2023-01-17 17:20:58+00:00
19,elonmusk,The Car Aquatic https://t.co/P7KYF8J8HF,108544,9581,2023-01-17 17:15:51+00:00
20,elonmusk,@RobertKennedyJr The truth is finally coming out,109970,12072,2023-01-17 17:06:47+00:00
21,elonmusk,@RepTroyNehls Does seem odd,35659,2303,2023-01-17 16:59:15+00:00
22,elonmusk,@bgurley Wise words,6666,309,2023-01-17 16:55:57+00:00
23,elonmusk,"@Davos Population collapse is an existential problem for humanity, not overpopulation!",22050,4532,2023-01-17 09:11:37+00:00
24,elonmusk,"@foxmediallc @paulg Twitter Verified tweets are more likely to be recommended to others, as they are less likely to be bots or troll farms",2760,235,2023-01-17 08:26:48+00:00
25,elonmusk,@katewand @DrEliDavid @canuck741 Sounds accurate,2591,198,2023-01-17 08:19:00+00:00
26,elonmusk,"@BBCBreaking Government data has far more latency &amp; error than people think, which is why it’s so frequently restated, especially in a rapidly changing economy.

When the economy is not changing rapidly, actually measuring things isn’t important, as you can simply extrapolate from the past.",14383,1297,2023-01-17 08:08:51+00:00
27,elonmusk,@ImMeme0 Is it even possible to parody their tweets? I’m just literally wondering right now if it’s even possible 🤔,5201,375,2023-01-17 07:38:17+00:00
28,elonmusk,@MirrorinSpace @Brookstone23 @realchrisrufo @wef lol,1799,119,2023-01-17 06:38:11+00:00
29,elonmusk,"@paulg Looking at the comments, this social network might be trending positively towards positivity. We will try to make that more the case.",4758,267,2023-01-17 06:15:59+00:00
30,elonmusk,@weirdterrifying Nice,33808,906,2023-01-17 05:36:28+00:00
31,elonmusk,@KanekoaTheGreat Interesting thread,4282,581,2023-01-17 05:30:42+00:00
32,elonmusk,@JaneidyEve The recommendation algorithm will get much better and it will be open source,11580,791,2023-01-17 03:58:42+00:00
33,elonmusk,"@ScottAdamsSays “Master the Future” doesn’t sound ominous at all … 🙄

How is WEF/Davos even a thing? Are they trying to be the boss of Earth!?",95258,15546,2023-01-17 03:54:25+00:00
34,elonmusk,"Trashing accounts that you hate will cause our algorithm to show you more of those accounts, as it is keying off of your interactions.

Basically saying if you love trashing *that* account, then you will probably also love trashing *this* account. Not actually wrong lol.",189643,17894,2023-01-17 03:47:49+00:00
35,elonmusk,@BillyM2k Should Twitter keep it active?,25917,1243,2023-01-17 03:40:08+00:00
36,elonmusk,"@jacobin This is a rare case where I agree with Jacobin.

Increasing quality of life for the aged is important, but increased lifespan, especially if cognitive impairment is not addressed, is not good for civilization.

We are already ruled by a gerontocracy!",3843,404,2023-01-17 03:38:04+00:00
37,elonmusk,"@banthebbc BBC is at least honest that they are the *British* Broadcasting Corporation, unlike many others …",2233,201,2023-01-17 03:25:27+00:00
38,elonmusk,"@banthebbc Well, your account handle is literally BanTheBBC haha!

But that’s actually the point I was making: state influence/affiliation with media is far more common than most people realize – just look at how much Twitter/FB/Google have been influenced!",2053,246,2023-01-17 03:23:41+00:00
39,elonmusk,"@Brookstone23 @realchrisrufo @wef There are some really funny WEF parody accounts, although it’s legit hard to tell WEF truth from WEF parody sometimes!",3406,373,2023-01-17 03:16:50+00:00
40,elonmusk,"@realchrisrufo Sensible thread. 

We shouldn’t be obsessed with WEF/Davos, but they take themselves sooo seriously that making fun of them is awesome 😎",24973,2095,2023-01-17 03:10:32+00:00
41,elonmusk,@Jason Population collapse is a massive danger to the future of civilization!,7508,791,2023-01-17 03:06:03+00:00
42,elonmusk,"@ganaha_masako That is ironic indeed. Doubly so, given that Tesla Model Y is best-selling car in Switzerland! 🤣🤣
https://t.co/jdbiAOgcKc",7439,556,2023-01-17 03:04:30+00:00
43,elonmusk,@MrStevenSteele @appuntito160 True,2005,145,2023-01-17 02:36:24+00:00
44,elonmusk,@appuntito160 🤣🤣 he blocked me,6099,333,2023-01-17 02:33:44+00:00
45,elonmusk,@bfcarlson Worrisome,22699,1363,2023-01-17 02:02:45+00:00
46,elonmusk,@ScottAdamsSays He’s right,7445,417,2023-01-16 22:16:42+00:00
47,elonmusk,"@DJSnM @ThePrimalDino Center core moving too fast return. Falcon Heavy is a 3 (or 2.5) stage rocket, but full &amp; rapid reusability on Earth demand a 2 stage rocket.

1st stage returns to launch site immediately via boostback &amp; 2nd stage orbits until ground track passes back over launch site to return.",3155,192,2023-01-16 20:07:25+00:00
48,elonmusk,"@appuntito160 People on the right should see more “left wing” stuff and people on the left should see more “right wing” stuff.

But you can just block it if you want to stay in an echo chamber.",24562,2434,2023-01-16 19:56:29+00:00
49,elonmusk,"@DavidSacks The censorship tools were created to deal with scams &amp; spam, but then were turned to political purposes.

Those who favor censorship should remember that it is only a matter of time before censorship turns on you.

There will always be some censorship, but less is better.",37141,5548,2023-01-16 19:36:23+00:00
